kanji,english,components,on_reading,kun_reading
改,reformation,snake; self; taskmaster,カイ,あらた.める; あらた.まる
記,scribe,say; words; keitai; mouth; snake; self,キ,しる.す
包,wrap,bound up; snake; self,ホウ,つつ.む; くる.む
胞,placenta,moon; month; flesh; part of the body; wrap; bound up; snake; self,ホウ,
砲,cannon,stone; rock; wrap; bound up; snake; self,ホウ,
泡,bubble,water; water droplets; water pistol; wrap; bound up; snake; self,ホウ,あわ
亀,tortoise,bound up; eels; sun; day,キ; キュウ; キン,かめ
電,electricity,rain; weather; eel; sun; day,デン,
竜,dragon,vase; stand up; eel; sun; day,リュウ; リョウ; ロウ,たつ; いせ
滝,waterfall,water; water droplets; water pistol; dragon; vase; stand up; eel; sun; day,ロウ; ソウ,たき
豚,pork,moon; month; flesh; part of the body; sow; pig,トン,ぶた
逐,pursue,sow; pig; road,チク,
遂,consummate,horns; sow; pig; road,スイ,と.げる; つい.に
家,house,sow; pig,カ; ケ,いえ; や; うち
嫁,marry into,woman; house; sow; pig,カ,よめ; とつ.ぐ; い.く; ゆ.く
豪,overpowering,tall; top hat; mouth; crown; sow; pig,ゴウ,えら.い
腸,intestines,moon; month; flesh; part of the body; piggy bank; sun; day; piglets,チョウ,はらわた
場,location,soil; dirt; ground; piggy bank; sun; day; piglets,ジョウ; チョウ,ば
湯,hot water,water; water droplets; water pistol; piggy bank; sun; day; piglets,トウ,ゆ
羊,sheep,horns,ヨウ,ひつじ
美,beauty,sheep; large; St. Bernard,ビ; ミ,うつく.しい
洋,ocean,water; water droplets; water pistol; sheep,ヨウ,
詳,detailed,say; words; keitai; mouth; sheep,ショウ,くわ.しい; つまび.らか
鮮,fresh,fish; bound up; rice field; brains; oven-fire; barbecue; sheep,セン,あざ.やか
達,accomplished,soil; dirt; ground; sheep; road,タツ; ダ,-たち
羨,envious,sheep; water; water droplets; water pistol; lack; yawn,セン; エン,うらや.む; あまり
差,distinction,wool; sheep; craft,サ,さ.す; さ.し
着,don,wool; sheep; eye,チャク; ジャク,き.る; -ぎ; き.せる; -き.せ; つ.く; つ.ける
唯,solely,mouth; turkey,ユイ; イ,ただ
堆,piled high,soil; dirt; ground; turkey,タイ; ツイ,うずたか.い
椎,sweet oak,tree; wood; turkey,ツイ; スイ,つち; う.つ
誰,who?,who; say; words; keitai; mouth; turkey,スイ,だれ; たれ; た
焦,char,turkey; oven-fire; barbecue,ショウ,こ.げる; こ.がす; こ.がれる; あせ.る
礁,reef,stone; rock; char; turkey; oven-fire; barbecue,ショウ,
集,gather,turkey; tree; wood,シュウ,あつ.まる; あつ.める; つど.う
准,quasi-,ice; turkey,ジュン,
進,advance,turkey; road,シン,すす.む; すす.める
雑,miscellaneous,nine; baseball; tree; wood; turkey,ザツ; ゾウ,まじ.える; まじ.る
雌,female,Prince; this here; stop; footprint; spoon; sitting on the ground; turkey,シ,め-; めす; めん
準,semi-,water; water droplets; water pistol; turkey; ten; needle,ジュン,じゅん.じる; じゅん.ずる; なぞら.える; のり; ひと.しい; みずもり
奮,stirred up,large; St. Bernard; turkey; rice field; brains,フン,ふる.う
奪,rob,large; St. Bernard; turkey; glue,ダツ,うば.う
確,assurance,stone; rock; turkeyhouse; house; turkey,カク; コウ,たし.か; たし.かめる
午,noon,horse; pantomime horse; sign of the horse,ゴ,うま
許,permit,say; words; keitai; mouth; horse; pantomime horse; noon; sign of the horse,キョ,ゆる.す; もと
歓,delight,pegasus; horse; pantomime horse; noon; sign of the horse; turkey; lack; yawn,カン,よろこ.ぶ
権,authority,tree; wood; pegasus; horse; pantomime horse; noon; sign of the horse; turkey,ケン; ゴン,おもり; かり; はか.る
観,outlook,pegasus; horse; pantomime horse; noon; sign of the horse; turkey; see; telescope; eye; human legs,カン,み.る; しめ.す
羽,feathers,wings,ウ,は; わ; はね
習,learn,feathers; wings; white; dove,シュウ; ジュ,なら.う; なら.い
翌,the following,feathers; wings; vase; stand up,ヨク,
曜,weekday,sun; day; futon; feathers; wings; turkey,ヨウ,
濯,laundry,water; water droplets; water pistol; futon; feathers; wings; turkey,タク,すす.ぐ; ゆす.ぐ
曰,sayeth,pent in; one,エツ,いわ.く; のたま.う; のたま.わく; ここに; ひらび
困,quandary,pent in; tree; wood,コン,こま.る
固,harden,pent in; old; tombstone; gravestone; church; ten; needle; mouth,コ,かた.める; かた.まる; かた.まり; かた.い
錮,weld,,コ,ふさ.ぐ
国,country,pent in; king; jewel; ball; earring; drop,コク,くに
団,group,pent in; glue,ダン; トン,かたまり; まる.い
因,cause,pent in; large; St. Bernard,イン,よ.る; ちな.む
姻,matrimony,woman; cause; pent in; large; St. Bernard,イン,
咽,windpipe,mouth; cause; pent in; large; St. Bernard,イン; エン; エツ,むせ.ぶ; むせ.る; のど; の.む
園,park,pent in; earthenware jar; lidded crock; soil; dirt; ground; mouth; scarf,エン,その
回,#NAME?,times; pent in; mouth,カイ; エ,まわ.る; -まわ.る; -まわ.り; まわ.す; -まわ.す; まわ.し-; -まわ.し; もとお.る; か.える
壇,podium,soil; dirt; ground; Churchill; top hat; -times; pent in; mouth; nightbreak; sun; day; one; floor,ダン; タン,
店,store,cave; fortune-telling; magic wand; augury; mouth,テン,みせ; たな
庫,warehouse,cave; car,コ; ク,くら
庭,courtyard,cave; courts; porter; drop; samurai; stretch,テイ,にわ
庁,government office,cave; street; nail; spike,チョウ; テイ,やくしょ
床,bed,cave; tree; wood,ショウ,とこ; ゆか
麻,hemp,cave; grove; tree; wood,マ; マア,あさ
磨,grind,hemp; cave; grove; tree; wood; stone; rock,マ,みが.く; す.る
心,heart,drops; fishhook,シン,こころ; -ごころ; りっしんべん
忘,forget,perish; deceased; top hat; fishhook; heart,ボウ,わす.れる
恣,selfish,,シ,ほしいまま
忍,endure,blade; sword; dagger; drop; heart,ニン,しの.ぶ; しの.ばせる
認,acknowledge,say; words; keitai; mouth; endure; blade; sword; dagger; drop; heart,ニン,みと.める; したた.める
忌,mourning,snake; self; heart,キ,い.む; い.み; い.まわしい
志,intention,samurai; heart,シ; シリング,こころざ.す; こころざし
誌,document,say; words; keitai; mouth; intention; samurai; heart,シ,
芯,wick,flowers; heart,シン,
忠,loyalty,in; stick; mouth; heart,チュウ,
串,shish kebab,kebab; in; stick; mouth,カン; ケン; セン,くし; つらぬ.く
患,afflicted,kebab; in; stick; mouth; heart,カン,わずら.う
思,think,rice field; brains; heart,シ,おも.う; おもえら.く; おぼ.す
恩,grace,cause; pent in; large; St. Bernard; heart,オン,
応,apply,cave; heart,オウ; ヨウ; ノウ,あた.る; まさに; こた.える
意,idea,sound; vase; stand up; sun; day; heart,イ,
臆,cowardice,moon; month; flesh; part of the body; idea; sound; vase; stand up; sun; day; heart,オク; ヨク,むね; おくする
想,concept,inter milan; inter; tree; wood; eye; heart,ソウ; ソ,おも.う
息,breath,nose; drop; eye; heart,ソク,いき
憩,recess,tongue; thousand; mouth; nose; drop; eye; heart,ケイ,いこ.い; いこ.う
恵,favor,ten; needle; rice field; brains; heart,ケイ; エ,めぐ.む; めぐ.み
恐,fear,barge; craft; mediocre; drop; wind; heart,キョウ,おそ.れる; おそ.る; おそ.ろしい; こわ.い; こわ.がる
惑,beguile,a; pope; fiesta; mouth; one; floor; heart,ワク,まど.う
感,emotion,march; mouth; heart,カン,
憂,melancholy,summer; head; page; crown; heart; walking legs,ユウ,うれ.える; うれ.い; う.い; う.き
寡,widow,house; head; page; animal legs; eight; sword; dagger,カ,
忙,busy,Freud; state of mind; deceased; perish; top hat; fishhook,ボウ; モウ,いそが.しい; せわ.しい; おそ.れる; うれえるさま
悦,ecstasy,Freud; state of mind; devil; horns; elder brother; teenager; mouth; human legs,エツ,よろこ.ぶ; よろこ.ばす
恒,constancy,Freud; state of mind; span; one; ceiling; sun; day; one; floor; one,コウ,つね; つねに
悼,lament,Freud; state of mind; eminent; magic wand; augury; sun; day; ten; needle,トウ,いた.む
悟,enlightenment,Freud; state of mind; I; five; mouth,ゴ,さと.る
怖,dreadful,Freud; state of mind; linen; by one’s side; towel,フ; ホ,こわ.い; こわ.がる; お.じる; おそ.れる
慌,disconcerted,Freud; state of mind; laid waste; wreath; flowers; deceased; perish; top hat; fishhook; stream; flood,コウ,あわ.てる; あわ.ただしい
悔,repent,Freud; state of mind; every; reclining; lying down; mother; breasts,カイ,く.いる; く.やむ; くや.しい
憎,hate,Freud; state of mind; increase; formerly; horns; rice field; brains; sun; day,ゾウ,にく.む; にく.い; にく.らしい; にく.しみ
慣,accustomed,Freud; state of mind; pierce; mother; breasts; shellfish; clam; oyster; eye; animal legs; eight,カン,な.れる; な.らす
愉,pleasure,Freud; state of mind; meeting; umbrella; butchers; moon; month; flesh; part of the body; sword; sabre; saber,ユ,たの.しい; たの.しむ
惰,lazy,Freud; state of mind; left-handed; left; by one’s side; craft; moon; month; flesh; part of the body,ダ,
慎,humility,Freud; state of mind; true; truth; ten; needle; eye; tool; animal legs; eight,シン,つつし.む; つつし; つつし.み
憾,remorse,Freud; state of mind; emotion; march; mouth; heart,カン,うら.む
憶,recollection,Freud; state of mind; idea; sound; vase; stand up; sun; day; heart,オク,
惧,disquieting,,ク,おそ.れる
憧,yearn,Freud; state of mind; juvenile; vase; stand up; computer,ショウ; トウ; ドウ,あこが.れる
憬,hanker,,ケイ,あこが.れる
慕,pining,graveyard; flowers; sun; day; large; St. Bernard; valentine,ボ,した.う
添,annexed,water; water droplets; water pistol; heavens; valentine,テン,そ.える; そ.う; も.える; も.う
必,invariably,heart; stick; drop; fishhook,ヒツ,かなら.ず
泌,ooze,water; water droplets; water pistol; invariably; heart; stick; drop; fishhook,ヒツ; ヒ,
手,hand,,シュ; ズ,て; て-; -て; た-
看,watch over,hand; eye,カン,み.る
摩,chafe,hemp; cave; grove; tree; wood; hand,マ,ま.する; さ.する; す.る
我,ego,hand; fiesta,ガ,われ; わ; わ.が-; わが-
義,righteousness,sheep; ego; hand; fiesta,ギ,
議,deliberation,say; words; keitai; mouth; righteousness; sheep; ego; hand; fiesta,ギ,
犠,sacrifice,cow; righteousness; sheep; ego; hand; fiesta,ギ; キ,いけにえ
抹,rub,finger; fingers; extremity; one; tree; wood,マツ,
拭,wipe,finger; fingers; style; arrow; craft,ショク; シキ,ぬぐ.う; ふ.く
拉,yank,,ラ; ラツ; ロウ,くだ.く; ひし.ぐ; らっ.する
抱,embrace,finger; fingers; wrap; bound up; snake; self,ホウ,だ.く; いだ.く; かか.える
搭,board,finger; fingers; flowers; fit; meeting; umbrella; one; mouth,トウ,
抄,extract,finger; fingers; few,ショウ,
抗,confront,finger; fingers; whirlwind; top hat; wind,コウ,
批,criticism,finger; fingers; compare; spoon; sitting on the ground,ヒ,
招,beckon,finger; fingers; summon; seduce; sword; dagger; mouth,ショウ,まね.く
拓,clear the land,finger; fingers; stone; rock,タク,ひら.く
拍,clap,finger; fingers; white; dove,ハク; ヒョウ,
打,strike,finger; fingers; street; nail; spike,ダ; ダアス,う.つ; う.ち-; ぶ.つ
拘,arrest,finger; fingers; phrase; bound up; mouth,コウ,かか.わる
捨,discard,finger; fingers; cottage; little-thatch; umbrella; lidded crock; earthenware jar; soil; dirt; ground; mouth,シャ,す.てる
拐,kidnap,finger; fingers; mouth; sword; dagger,カイ,
摘,pinch,finger; fingers; antique; vase; stand up; hood; old; tombstone; gravestone; church; ten; needle; mouth,テキ,つ.む
挑,challenge,finger; fingers; turtle; portent,チョウ,いど.む
指,finger,fingers; delicious; spoon; sitting on the ground; sun; day,シ,ゆび; さ.す; -さ.し
持,hold,finger; fingers; Buddhist temple; soil; dirt; ground; glue,ジ,も.つ; -も.ち; も.てる
拶,imminent,finger; fingers; stream; flood; evening,サツ,せま.る
括,fasten,finger; fingers; tongue; thousand; mouth,カツ,くく.る
揮,brandish,finger; fingers; army; chariot; crown; car; vehicle,キ,ふる.う
推,conjecture,finger; fingers; turkey,スイ,お.す
揚,hoist,finger; fingers; piggy bank; sun; day; piglets,ヨウ,あ.げる; -あ.げ; あ.がる
提,propose,finger; fingers; just so; sun; day; mend,テイ; チョウ; ダイ,さ.げる
損,damage,finger; fingers; employee; mouth; shellfish; clam; oyster; eye; animal legs; eight,ソン,そこ.なう; そこな.う; -そこ.なう; そこ.ねる; -そこ.ねる
拾,pick up,finger; fingers; fit; meeting; umbrella; one; mouth,シュウ; ジュウ,ひろ.う
担,shouldering,finger; fingers; nightbreak; sun; day; one; floor,タン,かつ.ぐ; にな.う
拠,foothold,finger; fingers; dispose; walking legs; wind,キョ; コ,よ.る
描,sketch,finger; fingers; seedlings; flowers; rice field; brains,ビョウ,えが.く; か.く
操,maneuver,finger; fingers; wooden goods; furniture; goods; mouth; tree; wood,ソウ; サン,みさお; あやつ.る
接,touch,finger; fingers; concubine; vase; stand up; woman,セツ; ショウ,つ.ぐ
掲,put up a notice,put up (a notice); finger; fingers; mexican bandit; muchacho; siesta; sun; day; aroma; bound up; spoon; sitting on the ground,ケイ,かか.げる
掛,hang,finger; fingers; ivy; square jewel; soil; dirt; ground; magic wand; augury,カイ; ケイ,か.ける; -か.ける; か.け; -か.け; -が.け; か.かる; -か.かる; -が.かる; か.かり; -が.かり; かかり; -がかり
捗,make headway,finger; fingers; walk; stop; footprint; few,チョク; ホ,はかど.る
研,polish,stone; rock; two hands,ケン,と.ぐ
戒,commandment,two hands; fiesta,カイ,いまし.める
弄,tinker with,king; jewel; ball; two hands,ロウ; ル,いじく.る; ろう.する; いじ.る; ひねく.る; たわむ.れる; もてあそ.ぶ
械,contraption,tree; wood; commandments; two hands; fiesta,カイ,かせ
鼻,nose,drop; eye; rice field; brains; two hands,ビ,はな
刑,punish,two hands; sword; sabre; saber,ケイ,
型,mould,punish; two hands; sword; sabre; saber; soil; dirt; ground,ケイ,かた; -がた
才,genius,genie,サイ,
財,property,shellfish; clam; oyster; eye; animal legs; eight; genie,ザイ; サイ; ゾク,たから
材,lumber,tree; wood; genie,ザイ,
存,suppose,genie; child,ソン; ゾン,
在,exist,genie; soil; dirt; ground,ザイ,あ.る
乃,from,fist,ナイ; ダイ; ノ; アイ,の; すなわ.ち; なんじ
携,portable,finger; fingers; turkey; fist; from,ケイ,たずさ.える; たずさ.わる
及,reach out,fist; from; drop,キュウ,およ.ぶ; およ.び; および; およ.ぼす
吸,suck,mouth; reach out,キュウ,す.う
扱,handle,finger; fingers; reach out,ソウ; キュウ,あつか.い; あつか.う; あつか.る; こ.く
丈,length,stick; tucked under the arm,ジョウ,たけ; だけ
史,history,mouth; tucked under the arm,シ,
吏,officer,history; length; stick; one; mouth; tucked under the arm,リ,
更,grow late,Ameratasu; one; ceiling; sun; tucked under the arm,コウ,さら; さら.に; ふ.ける; ふ.かす
硬,stiff,stone; rock; grow late; Ameratasu; one; ceiling; sun; tucked under the arm,コウ,かた.い
梗,spiny,tree; wood; grow late; Ameratasu; one; ceiling; sun; tucked under the arm,コウ; キョウ,ふさぐ; やまにれ; おおむね
又,or again,crotch,ユウ,また; また-; また.の-
双,pair,crotch,ソウ,ふた; たぐい; ならぶ; ふたつ
桑,mulberry,crotch; tree; wood,ソウ,くわ
隻,vessels,turkey; crotch,セキ,
護,safeguard,say; words; keitai; mouth; radio caroline; flowers; vessels; turkey; crotch,ゴ,まも.る
獲,seize,pack of wild dogs; radio caroline; flowers; vessels; turkey; crotch,カク,え.る
奴,guy,woman; crotch,ド,やつ; やっこ
怒,angry,guy; woman; crotch; heart,ド; ヌ,いか.る; おこ.る
友,friend,by one’s side; crotch,ユウ,とも
抜,slip out,finger; fingers; friend; woman; crotch,バツ; ハツ; ハイ,ぬ.く; -ぬ.く; ぬ.き; ぬ.ける; ぬ.かす; ぬ.かる
投,throw,finger; fingers; cruise missile; missile; wind; crotch,トウ,な.げる; -な.げ
没,drown,water; water droplets; water pistol; cruise missile; missile; wind; crotch,ボツ; モツ,おぼ.れる; しず.む; ない
股,thigh,moon; month; flesh; part of the body; cruise missile; missile; wind; crotch,コ,また; もも
設,establishment,say; words; keitai; mouth; cruise missile; missile; wind; crotch,セツ,もう.ける
撃,beat,tank; car; cruise missile; missile; wind; crotch; hand,ゲキ,う.つ
殻,husk,samurai; superfluous; crown; wind; cruise missile; missile; wind; crotch,カク; コク; バイ,から; がら
支,branch,ten; needle; crotch,シ,ささ.える; つか.える; か.う; しんよう; じゅうまた
技,skill,finger; fingers; branch; ten; needle; crotch,ギ,わざ
枝,bough,tree; wood; branch; ten; needle; crotch,シ,えだ
肢,limb,moon; month; flesh; part of the body; branch; ten; needle; crotch,シ,
茎,stalk,flowers; spool; clod; toilet paper; crotch; soil; dirt; ground,ケイ; キョウ,くき
怪,suspicious,Freud; state of mind; spool; clod; toilet paper; crotch; soil; dirt; ground,カイ; ケ,あや.しい; あや.しむ
軽,lightly,car; spool; clod; toilet paper; crotch; soil; dirt; ground,ケイ,かる.い; かろ.やか; かろ.んじる
叔,uncle,above; small; little; crotch,シュク,
督,coach,uncle; above; small; little; crotch; eye,トク,
寂,loneliness,house; uncle; above; small; little; crotch,ジャク; セキ,さび; さび.しい; さび.れる; さみ.しい
淑,graceful,water; water droplets; water pistol; uncle; above; small; little; crotch,シュク,しと.やか
反,anti-,demonstation; cliff; crotch,ハン; ホン; タン; ホ,そ.る; そ.らす; かえ.す; かえ.る; -かえ.る
坂,slope,soil; dirt; ground; anti-; demonstration; cliff; crotch,ハン,さか
板,plank,tree; wood; anti-; demonstration; cliff; crotch,ハン; バン,いた
返,return,anti-; demonstration; cliff; crotch; road,ヘン,かえ.す; -かえ.す; かえ.る; -かえ.る
販,marketing,shellfish; clam; oyster; eye; animal legs; eight; anti-; demonstration; cliff; crotch,ハン,
爪,claw,vulture,ソウ,つめ; つま-
妥,gentle,claw; vulture; woman,ダ,
乳,milk,fledgling; claw; vulture; child; fishhook,ニュウ,ちち; ち
浮,floating,water; water droplets; water pistol; fledgling; claw; vulture; child,フ,う.く; う.かれる; う.かぶ; む; う.かべる
淫,lewd,water; water droplets; water pistol; claw; vulture; porter; drop; samurai,イン,ひた.す; ほしいまま; みだ.ら; みだ.れる; みだり
将,leader,turtle; claw; vulture; glue,ショウ; ソウ,まさ.に; はた; まさ; ひきい.る; もって
奨,exhort,leader; turtle; claw; vulture; glue; large; St. Bernard,ショウ; ソウ,すす.める
采,grab,claw; vulture; tree; wood,サイ,と.る; いろどり
採,pick,finger; fingers; grab; claw; vulture; tree; wood,サイ,と.る
菜,vegetable,flowers; grab; claw; vulture; tree; wood,サイ,な
受,accept,birdhouse; birdcage; claw; vulture; crown; crotch,ジュ,う.ける; -う.け; う.かる
授,impart,finger; fingers; accept; birdhouse; birdcage; claw; vulture; crown; crotch,ジュ,さず.ける; さず.かる
愛,love,birdhouse; birdcage; claw; vulture; crown; love birds; heart; walking legs,アイ,いと.しい
曖,unclear,sun; love; birdhouse; birdcage; claw; vulture; crown; love birds; heart; walking legs,アイ,くら.い
払,pay,finger; fingers; elbow,フツ; ヒツ; ホツ,はら.う; -はら.い; -ばら.い
広,wide,cave; elbow,コウ,ひろ.い; ひろ.まる; ひろ.める; ひろ.がる; ひろ.げる
勾,hooked,bound up; elbow,コウ; ク,かぎ; ま.がる
拡,broaden,finger; fingers; wide; cave; elbow,カク; コウ,ひろ.がる; ひろ.げる; ひろ.める
鉱,mineral,metal; gold; wide; cave; elbow,コウ,あらがね
弁,valve,elbow; two hands,ベン; ヘン,わきま.える; わ.ける; はなびら; あらそ.う
雄,male,Yamanote; by one’s side; elbow; turkey,ユウ,お-; おす; おん
台,pedestal,elbow; mouth,ダイ; タイ,うてな; われ; つかさ
怠,neglect,pedestal; elbow; mouth; heart,タイ,おこた.る; なま.ける
治,reign,water; water droplets; water pistol; pedestal; elbow; mouth,ジ; チ,おさ.める; おさ.まる; なお.る; なお.す
冶,metallurgy,ice; pedestal; elbow; mouth,ヤ,い.る
始,commence,woman; pedestal; elbow; mouth,シ,はじ.める; -はじ.める; はじ.まる
胎,womb,moon; month; flesh; part of the body; pedestal; elbow; mouth,タイ,
窓,window,hole; house; human legs; elbow; heart,ソウ; ス,まど; てんまど; けむだし
去,gone,soil; dirt; ground; elbow,キョ; コ,さ.る; -さ.る
法,method,water; water droplets; water pistol; gone; soil; dirt; ground; elbow,ホウ; ハッ; ホッ; フラン,のり
会,meeting,one; wall; umbrella; rising cloud; two; elbow; wall,カイ; エ,あ.う; あ.わせる; あつ.まる
至,climax,wall; one; ceiling; elbow; soil; dirt; ground,シ,いた.る
室,room,house; climax; wall; one; ceiling; elbow; soil; dirt; ground,シツ,むろ
到,arrival,climax; wall; one; ceiling; elbow; soil; dirt; ground; sword; sabre; saber,トウ,いた.る
致,doth,climax; wall; one; ceiling; elbow; soil; dirt; ground; taskmaster,チ,いた.す
互,mutually,one; ceiling; one; floor,ゴ,たが.い; かたみ.に
棄,abandon,infant; toddler; top hat; elbow; buckle; tree; wood,キ,す.てる
育,bring up,infant; toddler; top hat; elbow; moon; month; flesh; part of the body,イク,そだ.つ; そだ.ち; そだ.てる; はぐく.む
撤,remove,finger; fingers; borstal; bring up; infant; toddler; top hat; elbow; moon; month; flesh; part of the body; taskmaster,テツ,
充,allot,infant; toddler; top hat; elbow; human legs,ジュウ,あ.てる; み.たす
銃,gun,metal; gold; allot; infant; toddler; top hat; elbow; human legs,ジュウ,つつ
硫,sulfur,sulphur; stone; rock; lifebelt; infant; toddler; top hat; elbow; stream; flood,リュウ,
流,current,water; water droplets; water pistol; lifebelt; infant; toddler; top hat; elbow; stream; flood,リュウ; ル,なが.れる; なが.れ; なが.す; -なが.す
允,license,elbow; human legs,イン,じょう; まこと.に; ゆるす
唆,tempt,mouth; streetwalker; Ministry of silly walks; John Cleese; license; elbow; human legs; walking legs,サ,そそのか.す
出,exit,,シュツ; スイ,で.る; -で; だ.す; -だ.す; い.でる; い.だす
山,mountain,,サン; セン,やま
拙,bungling,finger; fingers; exit,セツ,つたな.い
岩,boulder,mountain; stone; rock,ガン,いわ
炭,charcoal,mountain; ashes; cliff; fire,タン,すみ
岐,branch off,mountain; branch; ten; needle; crotch,キ; ギ,
峠,mountain pass,mountain; above; below,,とうげ
崩,crumble,mountain; companion; moon; month; flesh; part of the body,ホウ,くず.れる; -くず.れ; くず.す
密,secrecy,house; invariably; heart; mountain,ミツ,ひそ.か
蜜,honey,house; invariably; heart; insect,ミツ; ビツ,
嵐,storm,mountain; wind; gnats; drop; insect,ラン,あらし
崎,promontory,mountain; strange; large; St. Bernard; can; street; nail; spike; mouth,キ,さき; さい; みさき
崖,bluffs,mountain; cliff; ivy; square jewel; soil; dirt; ground,ガイ; ゲ; ギ,がけ; きし; はて
入,enter,,ニュウ; ジュ,い.る; -い.る; -い.り; い.れる; -い.れ; はい.る
込,crowded,enter; road,,こ.み; -こ.み; -こ.む; こ.む; こ.める
分,part,eight; sword; dagger,ブン; フン; ブ,わ.ける; わ.け; わ.かれる; わ.かる; わ.かつ
貧,poverty,part; eight; sword; dagger; shellfish; clam; oyster; eye; animal legs; eight,ヒン; ビン,まず.しい
頒,partition,part; eight; sword; dagger; head; page; one; ceiling; drop; shellfish; clam; oyster; eye; animal legs; eight,ハン,わか.つ
公,public,eight; elbow,コウ; ク,おおやけ
松,pine tree,tree; wood; public; eight; elbows,ショウ,まつ
翁,venerable old man,public; eight; elbows; feathers; wings,オウ,おきな
訟,sue,say; words; keitai; mouth; public; eight; elbows,ショウ,
谷,valley,eight; umbrella; mouth,コク,たに; きわ.まる
浴,bathe,water; water droplets; water pistol; valley; eight; umbrella; mouth,ヨク,あ.びる; あ.びせる
容,contain,house; valley; eight; umbrella; mouth,ヨウ,い.れる
溶,melt,water; water droplets; water pistol; contents; contain; house; valley; animal legs; eight; umbrella; mouth,ヨウ,と.ける; と.かす; と.く
欲,longing,valley; eight; umbrella; mouth; lack; yawn,ヨク,ほっ.する; ほ.しい
裕,abundant,cloak; valley; eight; umbrella; mouth,ユウ,
鉛,lead (metal),lead; metal; gold; gully; eight; mouth,エン,なまり
沿,run alongside,water; water droplets; water pistol; gully; eight; mouth,エン,そ.う; -ぞ.い
賞,prize,outhouse; small; little; crown; mouth; shellfish; clam; oyster; eye; animal legs; eight,ショウ,ほ.める
党,party,outhouse; small; little; crown; mouth; human legs,トウ,なかま; むら
堂,hall,outhouse; small; little; crown; mouth; soil; dirt; ground,ドウ,
常,usual,outhouse; small; little; crown; mouth; towel,ジョウ,つね; とこ-
裳,skirt,outhouse; small; little; crown; mouth; cloth; clothes; clothing; garment,ショウ,も; もすそ
掌,manipulate,outhouse; small; little; crown; mouth; hand,ショウ,てのひら; たなごころ
皮,pelt,branch; ten; needle; crotch; hook,ヒ,かわ; けがわ
波,waves,water; water droplets; water pistol; pelt; branch; ten; needle; crotch; hook,ハ,なみ
婆,old woman,wave; water; water droplets; water pistol; pelt; branch; ten; needle; crotch; hook; woman,バ,ばば; ばあ
披,expose,finger; fingers; pelt; branch; ten; needle; crotch; hook,ヒ,
破,rend,stone; rock; pelt; branch; ten; needle; crotch; hook,ハ,やぶ.る; やぶ.れる
被,incur,cloak; pelt; branch; ten; needle; crotch; hook,ヒ,こうむ.る; おお.う; かぶ.る; かぶ.せる
残,remainder,bones; one; ceiling; evening; float,ザン; サン,のこ.る; のこ.す; そこな.う; のこ.り
殉,martyrdom,bones; one; ceiling; evening; decameron; bound up; sun; day,ジュン,
殊,particularly,bones; one; ceiling; evening; vermilion; drop; not yet; one; tree; wood,シュ,こと
殖,augment,bones; one; ceiling; evening; straightaway; ten; needle; eye; fishhook,ショク,ふ.える; ふ.やす
列,file,bones; one; ceiling; evening; sword; sabre; saber,レツ; レ,
裂,split,file; bones; one; ceiling; evening; sword; sabre; saber; cloth; clothes; clothing; garment,レツ,さ.く; さ.ける; -ぎ.れ
烈,ardent,file; bones; one; ceiling; evening; sword; sabre; saber; oven-fire; barbecue,レツ,はげ.しい
死,death,bones; one; ceiling; evening; spoon; sitting on the ground,シ,し.ぬ; し.に-
葬,interment,flowers; death; bones; one; ceiling; evening; spoon; sitting on the ground; two hands,ソウ,ほうむ.る
瞬,wink,eye; Rose of Sharon; birdhouse; birdcage; claw; vulture; crown; sunglasses; dancing legs; ballerina; evening,シュン,またた.く; まじろ.ぐ
耳,ear,,ジ,みみ
取,take,ear; crotch,シュ,と.る; と.り; と.り-; とり; -ど.り
趣,gist,run; soil; dirt; ground; mend; take; ear; crotch,シュ,おもむき; おもむ.く
最,utmost,sun; day; take; ear; crotch,サイ; シュ,もっと.も; つま
撮,snapshot,finger; fingers; utmost; sun; day; take; ear; crotch,サツ,と.る; つま.む; -ど.り
恥,shame,ear; heart,チ,は.じる; はじ; は.じらう; は.ずかしい
職,post,ear; kazoo; sound; vase; stand up; sun; day; fiesta,ショク; ソク,
聖,holy,ear; mouth; king; jewel; ball,セイ; ショウ,ひじり
敢,daring,street; nail; spike; ear; taskmaster,カン,あ.えて; あ.えない; あ.えず
聴,listen,ear; stethoscope; camel; ten; needle; eye; cross-eyed; net; heart,チョウ; テイ,き.く; ゆる.す
懐,pocket,Freud; state of mind; poltergeist; BernaE; ten; needle; eye; cross-eyed; net; top hat; scarf; cloth; clothes; clothing; garment,カイ; エ,ふところ; なつ.かしい; なつ.かしむ; なつ.く; なつ.ける; なず.ける; いだ.く; おも.う
慢,ridicule,Freud; state of mind; mandala; sun; day; eye; cross-eyed; net; crotch,マン,
漫,loose,water; water droplets; water pistol; mandala; sun; day; eye; cross-eyed; net; crotch,マン,みがりに
買,buy,eye; cross-eyed; net; shellfish; clam; oyster; eye; animal legs; eight,バイ,か.う
置,placement,eye; cross-eyed; net; straightaway; ten; needle; eye; fishhook,チ,お.く; -お.き
罰,penalty,eye; cross-eyed; net; say; words; keitai; mouth; sword; sabre; saber,バツ; バチ; ハツ,ばっ.する
