kanji,english,components,on_reading,kun_reading
貢,tribute,craft; shellfish; clam; oyster; eye; animal legs; eight,コウ; ク,みつ.ぐ
項,paragraph,craft; head; page; one; ceiling; drop; shellfish; clam; oyster; eye; animal legs; eight,コウ,うなじ
刀,sword,dagger,トウ,かたな; そり
刃,blade,drop; sword; dagger,ジン; ニン,は; やいば; き.る
切,cut,seven; diced; sword; dagger,セツ; サイ,き.る; -き.る; き.り; -き.り; -ぎ.り; き.れる; -き.れる; き.れ; -き.れ; -ぎ.れ
召,seduce,sword; dagger; mouth,ショウ,め.す
昭,shining,sun; day; seduce; summon; sword; dagger; mouth,ショウ,
則,rule,shellfish; clam; oyster; eye; animal legs; eight; sword; sabre; saber,ソク,のっと.る
副,vice-,wealth; one; ceiling; mouth; rice field; brains; sword; sabre; saber,フク,
別,separate,mouth; bound up; sword; sabre; saber,ベツ,わか.れる; わ.ける
丁,street,nail; spike,チョウ; テイ; チン; トウ; チ,ひのと
町,village,rice field; brains; street; nail; spike,チョウ,まち
可,can,mouth; street; street; nail; spike,カ; コク,-べ.き
頂,place on the head,street; nail; spike; head; page; one; ceiling; drop; shellfish; clam; oyster; eye; animal legs; eight,チョウ,いただ.く; いただき
子,child,,シ; ス; ツ,こ; -こ; ね
孔,cavity,child; fishhook,コウ,あな
了,complete,child with arms wrapped up,リョウ,
女,woman,,ジョ; ニョ; ニョウ,おんな; め
好,fond,woman; child,コウ,この.む; す.く; よ.い; い.い
如,likeness,woman; mouth,ジョ; ニョ,ごと.し
母,mama,mother; breasts,ボ,はは; も
貫,pierce,mama; mother; breasts; oyster; shellfish; clam; oyster; eye; animal legs; eight,カン,つらぬ.く; ぬ.く; ぬき
兄,elder brother,teenager; mouth; human legs,ケイ; キョウ,あに
呪,curse,mouth; elder brother; teenager; mouth; human legs,ジュ; シュ; シュウ; ズ,まじな.う; のろ.い; まじな.い; のろ.う
克,overcome,ten; needle; elder brother; teenager; mouth; human legs,コク,か.つ
小,little,small,ショウ,ちい.さい; こ-; お-; さ-
少,few,little; small; drop,ショウ,すく.ない; すこ.し
大,large,St. Bernard,ダイ; タイ,おお-; おお.きい; -おお.いに
多,many,evening,タ,おお.い; まさ.に; まさ.る
夕,evening,,セキ,ゆう
汐,eventide,water; water droplets; water pistol; evening,セキ,しお; うしお; せい
外,outside,evening; magic wand; augury,ガイ; ゲ,そと; ほか; はず.す; はず.れる; と-
名,name,evening; mouth,メイ; ミョウ,な; -な
石,stone,cliff; mouth,セキ; シャク; コク,いし
肖,resemblance,spark; candle; small; little; moon; month; flesh; part of the body,ショウ,あやか.る
硝,nitrate,stone; rock; resemblance; spark; candle; small; little; moon; month; flesh; part of the body,ショウ,
砕,smash,stone; rock; ninety; nine; baseball; ten; needle,サイ,くだ.く; くだ.ける
砂,sand,stone; rock; few,サ; シャ,すな
妬,jealous,woman; stone; rock,ト; ツ,ねた.む; そね.む; つも.る; ふさ.ぐ
削,plane,resemblance; spark; candle; small; little; moon; month; flesh; part of the body; sword; sabre; saber,サク,けず.る; はつ.る; そ.ぐ
光,ray,small; little; human legs,コウ,ひか.る; ひかり
太,plump,large; St. Bernard; drop,タイ; タ,ふと.い; ふと.る
器,utensil,mouth; large; St. Bernard,キ,うつわ
臭,stinking,nose; drop; eye; large; St. Bernard,シュウ,くさ.い; -くさ.い; にお.う; にお.い
嗅,sniff,,キュウ,か.ぐ
妙,exquisite,woman; few,ミョウ; ビョウ,たえ
省,focus,few; eye,セイ; ショウ,かえり.みる; はぶ.く
厚,thick,cliff; sun; day; child,コウ,あつ.い; あか
奇,strange,large; St. Bernard; can; mouth; street; nail; spike,キ,く.しき; あや.しい; くし; めずら.しい
川,stream,flood,セン,かわ
州,state,stream; flood; drops,シュウ; ス,す
順,obey,stream; flood; head; page; one; ceiling; drop; shellfish; clam; oyster; eye; animal legs; eight,ジュン,
水,water,,スイ,みず; みず-
氷,icicle,drop; water,ヒョウ,こおり; ひ; こお.る
永,eternity,drop; water,エイ,なが.い
泉,spring,white; dove; water,セン,いずみ
腺,gland,moon; month; flesh; part of the body; spring; white; dove; water,セン,
