# Swahili-English dictionary created from OmegaWiki database
# Created on: 2021-09-01T21:55:37+00:00
# Licence: GNU Free Documentation Licence http://www.gnu.org/copyleft/fdl.html
# Download updated version of this file at: https://www.dicts.info/uddl.php
# Contact us at: https://www.dicts.info/contact.php
-dogo	short ; small
kitanda	bed
kiti	chair
kitovu	belly button ; bellybutton ; navel ; omphalos ; omphalus ; umbilicus
kitunguu	onion
kiu	thirst
kiungo	joint ; articulation
kizuio	obstacle ; obstruction
kobalti	cobalt
kondoo	sheep
kriptoni	krypton
kuingia	enter
kuja	come
kujiua	suicide
kula	consume ; eat ; swallow
kununua ; nunua	buy ; purchase
kunywa	drink ; gulp ; quaff ; sip
kweli	truth
limau	lemon
lithi	lithium
lugha	language
maabara	laboratory
majani	grass
maji	water
maktaba	library
mama	mother
mamba	crocodile
manjano	yellow
manyonya	wool
mapenzi	love
matubwitubwi	mumps
matumaini	hope
maziwa	milk
mboga	vegetable
mbuni	ostrich
mbwa	dog
mbweha	jackal
mchanga	sand
mchawi	wizard ; sorcerer ; magician
mchele ; mpunga	rice
mchezo	game
mchungaji	shepherd
mdudu	insect
meli	ship
meza	table
mfiwa	orphan
mganga wa meno	dentist
mguu	leg
mifupa	skeleton
mikrofoni	microphone
mimba	pregnancy
miwani	glasses ; spectacles
mji	city
mji mkuu	capital
mke	wife ; spouse
mlango	door
mlevi	drunk ; drunkard ; boozer
mlima	mountain
mlio	sound
mmomonyoko	erosion
mnyama	animal
moto	fire
mpiga muziki	musician
mshahara	salary
mshale	arrow
mshona	tailor
mshumaa	candle
msichana	girl
mti	tree
mto	river
mtoto	child
mtu ; mwanadamu	man
mume	husband ; spouse
muziki	music
mvua	rain
mvulana	boy
mwalimu	teacher
mwanamke	female ; woman
mwanamume	male ; man
mwanasheria	lawyer
mwenye	owner
mwezi	month
mwezi	moon ; moon ; satelite ; satelite
mwokaji	baker
mzinga	beehive
natiri	sodium
nazi	kokosnoot ; coconut
ndege	aircraft
ndizi	banana
neoni	neon
neptuni	neptunium
ngozi	leather
nikeli	nickel
niobi	niobium
nitrojeni	nitrogen
nyama	meat
nyani	gorilla
nyani	baboon
nyanya	tomato
nyoka	snake
nyuki	wasp
nyumba	home ; home ; house
nywele	hair
nzige	locust
oksijeni	oxygen
paka	cat
pakia ; safirisha	export
paladi	palladium
papa	shark
pembetatu	triangle
pikipiki	motorcycle ; motorbike
platini	platinum
poloni	polonium
posferi	phosphorus
pua	nose
pumkini	napkin
punda	donkey ; ass
pwani	coast
radi	radium
radoni	radon
rangi	colour ; colour ; colo(u)r
redio	radio
risasi	lead
rodi	rhodium
roentgeni	roentgenium
rutherfordi	rutherfordium
saa	hour
sabuni	soap
safiri	travel
samaki	fish
seleni	selenium
shaba	copper
shamba	field ; land ; land ; acre ; patch
shamba	farm
shukrani	thank you
shule	school
siagi	butter
siaza	politics
sigareti	cigarette
sikio	ear
simba	lion
simu	phone ; telephone
sirinji	syringe
sisimizi	ant
soda	beverage ; drink
soda ; kinywaji	beverage ; drink
soko	square
soma	read
stani	tin
stronti	strontium
sukari	sugar
sulfuri	sulphur
sumu	poison
suruali	trousers
swali	question
tafsiri	translation
tali	thallium
tango	cucumber
tekineti	technetium
teluri	tellurium
tembo	elephant
theluji	snow
titani	titanium
topito	torpedo
treni ; garimoshi	train
twiga	giraffe
ua	flower ; bloom ; blossom
ugonjwa	disease ; illness ; affliction
uhuru	freedom ; liberty
ujaa	hunger ; hunger ; hunger
ukaburu	apartheid
ukuta	wall
ulimi	tongue
uma	fork
umri	age
ununheksi	ununhexium
unyonya	feather
upepo	wind
urani	uranium
usi	eyebrow
usingizi	sleep
uso	face
utambi	web ; spider web
uza	sell
vanadi	vanadium
watu	people
wiki ; juma	week
wikiendi	weekend
wino	ink
xenoni	xenon
yai	egg
ytri	yttrium
zebaki	mercury
zinki	zinc
zirikoni	zirconium
ziwa	lake
