# Tamil-English dictionary created from OmegaWiki database
# Created on: 2021-09-01T22:01:38+00:00
# Licence: GNU Free Documentation Licence http://www.gnu.org/copyleft/fdl.html
# Download updated version of this file at: https://www.dicts.info/uddl.php
# Contact us at: https://www.dicts.info/contact.php
ஃவுளூரின்	fluorine
பெல்சியம்	Belgium ; Kingdom of Belgium
பேரியம்	barium
பொசுனியாவும் எர்செகோவினாவும்	Bosnia and Herzegovina ; Republic of Bosnia and Herzegovina
பொன்சாய்	bonsai
பொலிவியா	Bolivia ; Republic of Bolivia
போன்றீயம்	molybdenum
போரான்	boron
போர்ச்சுகீஸ	Portuguese ; Portuguese
போர்த்துகல்	Portugal
போலிஷ்	Polish ; Polish
மசாசுசெற்ஸ்	Massachusetts
மடகாஸ்கர்	Madagascar ; Republic of Madagascar
மரம்	tree
மராத்தி	Marathi ; Marāthi ; Marāthi ; MarÄthi
மலாவி	Malawi ; Republic of Malaŵi
மலேசியா	Malaysia
மலையாளம்	Malayalam ; Malayalam
மல்டோவா	Moldova
மாங்கனீசு	manganese
மாம்பழம்	mango
மிதிவண்டி	bicycle ; bike ; cycle
மின்காந்தவியல்	electromagnetism
மியான்மார்	Myanmar
மிலன்	Milan
மிளிரியம்	lutetium
முட்டை	egg
மும்பை	Mumbai ; Bombay
மூத்திரபிண்டம்	kidney
மெண்டலேவியம்	mendelevium
மென்வெள்ளி	cobalt
மெய்யியல்	philosophy
மேகம்	cloud
மேசிடோனியன்	Macedonian ; Macedonian
மொண்டெனேகுரோ	Montenegro
மொனாகோ	Monaco
யமேக்கா	Jamaica
யானை	elephant
யிற்றியம்	yttrium
யுரேனியம்	uranium
யூரோப்பியம்	europium
ருதெர்போர்டியம்	rutherfordium
ருத்தேனியம்	ruthenium
ருபீடியம்	rubidium
ருமேனியா	Romania
ருஸ்சியன்	Russian ; Russian
ரெனியம்	rhenium
ரேடியம்	radium
ரொமேனியன	Romanian ; Romanaian
ரொறன்ரோ	Toronto
ரோடியம்	rhodium
லாந்த்தனம்	lanthanum
லித்தியம்	lithium
வங்காளதேசம்	Bangladesh ; People's Republic of Bangladesh
வத்திக்கான் நகர	Vatican City ; The Holy See ; State of the Vatican City
வனேடியம்	vanadium
வன்தங்கம்	zirconium
வரிக்குதிரை	zebra
வல்லகுவம்	magnesium
வானவில்	rainbow
வானியற்பியல்	astrophysics
வானியல்	astronomy
வாலூன	Walloon ; Walloon
வால்வெள்ளி	comet
விண்கல்	meteorite
வியட்னாமீஸ்	Vietnamese ; Vietnamese
விரல்	finger
விலங்கியல்	zoology
வீடு	home ; home ; house
வெங்காயம்	onion
வெட்டுக்கிளி	locust
வெனீசூலா	Venezuela
வெப்பஇயக்கவியல்	thermodynamics
வெளிரியம்	beryllium ; glucinium
வெள்ளி	silver
வெள்ளீயம்	tin
ஸ்ட்ரோன்ஷியம்	strontium
ஸ்பெயின்	Spain
ஸ்பேனிஷ	Castilian ; Spanish ; Spanish
ஸ்வீடிஷ ; சுவீடிய மொழ	Swedish
ஹங்கேரியன்	Hungarian
ஹப்னியம்	hafnium
ஹஸ்ஸியம்	hassium
ஹிந்தி	Hindi ; Hindi
ஹீப்ரூ	Hebrew
ஹீலியம்	helium
ஹைட்ரஜன்	hydrogen
ஹொல்மியம்	holmium
ภาษาอาหรับ	Arabic ; Standard Arabic
tamil	english
